,company,title,href
66,Tesla,Duales Studium B.A. International Service Management (m/w/d) - Berlin,https://de.linkedin.com/jobs/view/duales-studium-b-a-international-service-management-m-w-d-berlin-at-tesla-3735044548?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=WvG4jFlyvPSYGZtw3EIKYw%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
67,Verivox GmbH,Product Owner Data / Product Analyst (m/w/d) Business Unit Insurance,https://de.linkedin.com/jobs/view/product-owner-data-product-analyst-m-w-d-business-unit-insurance-at-verivox-gmbh-3773669466?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=b8ua5mexMJUxCI%2FZhSwAwg%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
68,Promedis24 GmbH,Erziehungswissenschaftler Mono B.A. (m/w/d),https://de.linkedin.com/jobs/view/erziehungswissenschaftler-mono-b-a-m-w-d-at-promedis24-gmbh-3780470368?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=k9TbqwC2Pi0bru8A5DAxdQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
69,Promedis24 GmbH,"Früh-, Elementar- oder Kindheitspädagogin B.A. (w/m/d)",https://de.linkedin.com/jobs/view/fr%C3%BCh-elementar-oder-kindheitsp%C3%A4dagogin-b-a-w-m-d-at-promedis24-gmbh-3780471259?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=cQuBVxpmS%2B9QYDDDWi%2FLCQ%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
70,Deloitte,Business Analyst / Consultant Digital Transformation ServiceNow (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-consultant-digital-transformation-servicenow-m-w-d-at-deloitte-3073143523?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=aBXjbKG7js1kTSmAUK8qqg%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
71,Promedis24 GmbH,Erziehungswissenschaftler Mono B.A. (m/w/d),https://de.linkedin.com/jobs/view/erziehungswissenschaftler-mono-b-a-m-w-d-at-promedis24-gmbh-3780468451?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=f3IBVskAfI6QPsQX9Jg3GA%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
72,Promedis24 GmbH,Erziehungswissenschaftler Mono B.A. (m/w/d),https://de.linkedin.com/jobs/view/erziehungswissenschaftler-mono-b-a-m-w-d-at-promedis24-gmbh-3780466533?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=CDm5u6EFZd7p%2B4%2Fe9oThgw%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
73,DIGITALL,Dynamics 365 Business Analyst,https://de.linkedin.com/jobs/view/dynamics-365-business-analyst-at-digitall-3731258981?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=UUT2fcpikYaCUcIgINLCjw%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
74,BearingPoint,Business Analyst Strategy & Digital Transformation | Energiewirtschaft (m/w/d) in Berlin,https://de.linkedin.com/jobs/view/business-analyst-strategy-digital-transformation-energiewirtschaft-m-w-d-in-berlin-at-bearingpoint-2963471348?refId=WNIkyQ0hyZANWXFxc5YvzQ%3D%3D&trackingId=K6NIvZWctKFpkbQg3Xl%2FuQ%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
75,Promedis24 GmbH,Erziehungswissenschaftler Mono B.A. (m/w/d),https://de.linkedin.com/jobs/view/erziehungswissenschaftler-mono-b-a-m-w-d-at-promedis24-gmbh-3780467477?refId=WNIkyQ0hyZANWXFxc5YvzQ%3D%3D&trackingId=Tna7lSOFpRFYr2vvZAFqzA%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
